Date,"Stress","Ansia","Disturbo depressivo","Insonnia","Solitudine"
2020-07-13,119,184,407,137,38
2020-07-14,142,220,410,149,44
2020-07-15,157,226,462,152,38
2020-07-16,122,185,437,132,45
2020-07-17,133,182,452,130,37
2020-07-18,98,175,428,122,50
2020-07-19,98,152,474,148,59
2020-07-20,106,226,517,178,31
2020-07-21,124,227,520,157,26
2020-07-22,76,198,497,156,28
2020-07-23,111,181,471,122,49
2020-07-24,105,184,442,155,41
2020-07-25,81,165,426,128,40
2020-07-26,90,157,403,160,51
2020-07-27,100,215,420,141,35
2020-07-28,86,199,442,176,46
2020-07-29,97,165,460,165,39
2020-07-30,135,170,428,192,30
2020-07-31,78,170,415,161,38
2020-08-01,77,182,396,111,34
2020-08-02,77,172,467,130,50
2020-08-03,81,203,519,150,42
2020-08-04,92,193,465,145,49
2020-08-05,112,181,465,156,43
2020-08-06,79,182,489,119,28
2020-08-07,53,184,431,144,38
2020-08-08,59,145,402,125,54
2020-08-09,87,168,417,141,54
2020-08-10,93,160,473,168,48
2020-08-11,79,166,474,155,45
2020-08-12,82,194,519,160,35
2020-08-13,93,169,432,152,36
2020-08-14,59,158,478,156,41
2020-08-15,84,162,417,151,53
2020-08-16,78,158,427,156,48
2020-08-17,78,171,494,153,48
2020-08-18,67,207,551,131,35
2020-08-19,87,262,630,180,51
2020-08-20,95,266,593,169,34
2020-08-21,76,238,523,113,43
2020-08-22,84,180,519,133,49
2020-08-23,76,219,543,135,43
2020-08-24,118,284,522,166,45
2020-08-25,85,205,525,162,42
2020-08-26,115,247,512,159,53
2020-08-27,91,211,481,131,46
2020-08-28,109,215,455,160,43
2020-08-29,90,215,507,194,47
2020-08-30,112,242,536,219,49
2020-08-31,149,312,519,174,37
